title;year;volume;issue;journal;language;family;subgroup;mono_multilingual;topic;country;region;continent;coder;inclusion
When context matters more than language: Verb or noun in French and Turkish caregiver speech;2014;34;6;FL;French;Indo-European;other Indo-European;mono;Pragmatics and Discourse;Belgium;westerneurope;Europe;MK;included
When context matters more than language: Verb or noun in French and Turkish caregiver speech;2014;34;6;FL;French;Indo-European;other Indo-European;mono;Pragmatics and Discourse;France;westerneurope;Europe;MK;included
Can connective use differentiate between children with and without specific language impairment?;2015;35;1;FL;Russian;Indo-European;other Indo-European;mono;Morphosyntax;Russia;easterneurope;Europe;MK;included
Can connective use differentiate between children with and without specific language impairment?;2015;35;1;FL;Russian;Indo-European;other Indo-European;mono;Morphosyntax;Netherlands;westerneurope;Europe;MK;included
Can connective use differentiate between children with and without specific language impairment?;2015;35;1;FL;Russian;Indo-European;other Indo-European;mono;Pragmatics and Discourse;Russia;easterneurope;Europe;MK;included
Can connective use differentiate between children with and without specific language impairment?;2015;35;1;FL;Russian;Indo-European;other Indo-European;mono;Pragmatics and Discourse;Netherlands;westerneurope;Europe;MK;included
Can connective use differentiate between children with and without specific language impairment?;2015;35;1;FL;Russian;Indo-European;other Indo-European;mono;Vocabulary and Semantics;Russia;easterneurope;Europe;MK;included
Can connective use differentiate between children with and without specific language impairment?;2015;35;1;FL;Russian;Indo-European;other Indo-European;mono;Vocabulary and Semantics;Netherlands;westerneurope;Europe;MK;included
Developing linguistic flexibility across the school years;2015;35;1;FL;Hebrew;Afro-Asiatic;non-Indo-European;mono;Morphosyntax;Israel;westernasia;Others;MK;included
Does the brown banana have a beak? Preschool children’s phonological awareness as a function of parents’ talk about speech sounds;2015;35;1;FL;English;Indo-European;English;NR;Morphosyntax;New Zealand;australia_and_new_zealand;Others;MK;included
Does the brown banana have a beak? Preschool children’s phonological awareness as a function of parents’ talk about speech sounds;2015;35;1;FL;English;Indo-European;English;NR;Phonology;New Zealand;australia_and_new_zealand;Others;MK;included
Does the brown banana have a beak? Preschool children’s phonological awareness as a function of parents’ talk about speech sounds;2015;35;1;FL;English;Indo-European;English;NR;Vocabulary and Semantics;New Zealand;australia_and_new_zealand;Others;MK;included
Does the brown banana have a beak? Preschool children’s phonological awareness as a function of parents’ talk about speech sounds;2015;35;1;FL;English;Indo-European;English;NR;Pragmatics and Discourse;New Zealand;australia_and_new_zealand;Others;MK;included
Does the brown banana have a beak? Preschool children’s phonological awareness as a function of parents’ talk about speech sounds;2015;35;1;FL;English;Indo-European;English;NR;Language and Cognition;New Zealand;australia_and_new_zealand;Others;MK;included
The use of reported speech in children’s narratives: A priming study;2015;35;1;FL;English;Indo-European;English;mono;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
The use of reported speech in children’s narratives: A priming study;2015;35;1;FL;English;Indo-European;English;mono;Vocabulary and Semantics;United Kingdom;northerneurope;Europe;MK;included
The use of reported speech in children’s narratives: A priming study;2015;35;1;FL;English;Indo-European;English;mono;Pragmatics and Discourse;United Kingdom;northerneurope;Europe;MK;included
The use of reported speech in children’s narratives: A priming study;2015;35;1;FL;English;Indo-European;English;mono;Morphosyntax;United Kingdom;northerneurope;Europe;MK;included
Comparison of measures of morphosyntactic complexity in French-speaking schoolaged children;2015;35;2;FL;French;Indo-European;other Indo-European;mono (NR);Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Comparison of measures of morphosyntactic complexity in French-speaking schoolaged children;2015;35;2;FL;French;Indo-European;other Indo-European;mono (NR);Vocabulary and Semantics;Canada;northamerica;North America;MK;included
Comparison of measures of morphosyntactic complexity in French-speaking schoolaged children;2015;35;2;FL;French;Indo-European;other Indo-European;mono (NR);Morphosyntax;Canada;northamerica;North America;MK;included
Lexical-phonological interactions in bilingual children;2015;35;2;FL;Spanish;Indo-European;other Indo-European;both;Vocabulary and Semantics;Switzerland;westerneurope;Europe;MK;included
Lexical-phonological interactions in bilingual children;2015;35;2;FL;German;Indo-European;other Indo-European;both;Phonology;Switzerland;westerneurope;Europe;MK;included
Lexical-phonological interactions in bilingual children;2015;35;2;FL;German;Indo-European;other Indo-European;both;Vocabulary and Semantics;Switzerland;westerneurope;Europe;MK;included
Lexical-phonological interactions in bilingual children;2015;35;2;FL;Spanish;Indo-European;other Indo-European;both;Phonology;Switzerland;westerneurope;Europe;MK;included
Parental report evidence for toddlers’ grammar and vocabulary in Bulgarian;2015;35;2;FL;Bulgarian;Indo-European;other Indo-European;mono (NR);Vocabulary and Semantics;Bulgaria;easterneurope;Europe;MK;included
Parental report evidence for toddlers’ grammar and vocabulary in Bulgarian;2015;35;2;FL;Bulgarian;Indo-European;other Indo-European;mono (NR);Pragmatics and Discourse;Bulgaria;easterneurope;Europe;MK;included
Parental report evidence for toddlers’ grammar and vocabulary in Bulgarian;2015;35;2;FL;Bulgarian;Indo-European;other Indo-European;mono (NR);Morphosyntax;Bulgaria;easterneurope;Europe;MK;included
The interplay of referential function and character primacy on referring expressions in children’s narratives;2015;35;2;FL;English;Indo-European;English;mono;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
The interplay of referential function and character primacy on referring expressions in children’s narratives;2015;35;2;FL;English;Indo-European;English;mono;Morphosyntax;Canada;northamerica;North America;MK;included
The interplay of referential function and character primacy on referring expressions in children’s narratives;2015;35;2;FL;English;Indo-European;English;mono;Pragmatics and Discourse;Canada;northamerica;North America;MK;included
Asking for action or information? Crosslinguistic comparison of interrogative functions in early child Cantonese and Mandarin;2015;35;3;FL;Cantonese;Sino-Tibetan;non-Indo-European;mono (NR);Pragmatics and Discourse;China;easternasia;Others;MK;included
Asking for action or information? Crosslinguistic comparison of interrogative functions in early child Cantonese and Mandarin;2015;35;3;FL;Cantonese;Sino-Tibetan;non-Indo-European;mono (NR);Pragmatics and Discourse;China;easternasia;Others;MK;included
Asking for action or information? Crosslinguistic comparison of interrogative functions in early child Cantonese and Mandarin;2015;35;3;FL;Mandarin;Sino-Tibetan;non-Indo-European;mono (NR);Pragmatics and Discourse;China;easternasia;Others;MK;included
Asking for action or information? Crosslinguistic comparison of interrogative functions in early child Cantonese and Mandarin;2015;35;3;FL;Mandarin;Sino-Tibetan;non-Indo-European;mono (NR);Pragmatics and Discourse;China;easternasia;Others;MK;included
Early markers of language delay in children with and without family risk for dyslexia;2015;35;3;FL;Norwegian;Indo-European;other Indo-European;mono;Vocabulary and Semantics;Norway;northerneurope;Europe;MK;included
Early markers of language delay in children with and without family risk for dyslexia;2015;35;3;FL;Norwegian;Indo-European;other Indo-European;mono;Vocabulary and Semantics;Finland;northerneurope;Europe;MK;included
Narrative coherence of Mandarin-speaking children with high-functioning autism spectrum disorder: An investigation into causal relations;2015;35;3;FL;Mandarin;Sino-Tibetan;non-Indo-European;NR;Pragmatics and Discourse;Taiwan;easternasia;Others;MK;included
Restricted consonant inventories of 2-year-old Finnish children with a history of recurrent acute otitis media;2015;35;3;FL;Finnish;Uralic;non-Indo-European;mono;Phonology;Finland;northerneurope;Europe;MK;included
Word order and information structure in Czech 3- and 4-year-olds’ comprehension;2015;35;3;FL;Czech;Indo-European;other Indo-European;mono;Morphosyntax;Czechia;easterneurope;Europe;MK;included
Word order and information structure in Czech 3- and 4-year-olds’ comprehension;2015;35;3;FL;Czech;Indo-European;other Indo-European;mono;Pragmatics and Discourse;Czechia;easterneurope;Europe;MK;included
Optional opacity: A syntactically-based analysis of early Hebrew verb morphology;2015;35;6;FL;Hebrew;Afro-Asiatic;non-Indo-European;NR;Morphosyntax;United States;northamerica;North America;MK;included
The effects of source unreliability on prior and future word learning;2015;35;6;FL;English;Indo-European;English;NR;Vocabulary and Semantics;United States;northamerica;North America;MK;included
The effects of source unreliability on prior and future word learning;2015;35;6;FL;English;Indo-European;English;NR;Pragmatics and Discourse;United States;northamerica;North America;MK;included
The power of imageability: How the acquisition of inflected forms is facilitated in highly imageable verbs and nouns in Czech children;2015;35;6;FL;Czech;Indo-European;other Indo-European;mono (NR);Vocabulary and Semantics;Czechia;easterneurope;Europe;MK;included
The power of imageability: How the acquisition of inflected forms is facilitated in highly imageable verbs and nouns in Czech children;2015;35;6;FL;Czech;Indo-European;other Indo-European;mono (NR);Language and Cognition;Czechia;easterneurope;Europe;MK;included
The power of imageability: How the acquisition of inflected forms is facilitated in highly imageable verbs and nouns in Czech children;2015;35;6;FL;Czech;Indo-European;other Indo-European;mono (NR);Morphosyntax;Czechia;easterneurope;Europe;MK;included
Calculating mean length of utterance for eastern Canadian Inuktitut;2015;35;4--5;FL;Inuktitut;Eskimo-Aleut;non-Indo-European;both;Morphosyntax;Germany;westerneurope;Europe;MK;included
Calculating mean length of utterance for eastern Canadian Inuktitut;2015;35;4--5;FL;Inuktitut;Eskimo-Aleut;non-Indo-European;both;Morphosyntax;Canada;northamerica;North America;MK;included
Calculating mean length of utterance for eastern Canadian Inuktitut;2015;35;4--5;FL;Inuktitut;Eskimo-Aleut;non-Indo-European;both;Phonology;Germany;westerneurope;Europe;MK;included
Calculating mean length of utterance for eastern Canadian Inuktitut;2015;35;4--5;FL;Inuktitut;Eskimo-Aleut;non-Indo-European;both;Phonology;Canada;northamerica;North America;MK;included
Communicative intentions of child-directed speech in three different learning environments: Observations from the Netherlands, and rural and urban Mozambique;2015;35;4--5;FL;Tsonga;Niger-Congo;non-Indo-European;both;Pragmatics and Discourse;Netherlands;westerneurope;Europe;MK;included
Communicative intentions of child-directed speech in three different learning environments: Observations from the Netherlands, and rural and urban Mozambique;2015;35;4--5;FL;Tsonga;Niger-Congo;non-Indo-European;both;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Communicative intentions of child-directed speech in three different learning environments: Observations from the Netherlands, and rural and urban Mozambique;2015;35;4--5;FL;Dutch;Indo-European;other Indo-European;mono (NR);Pragmatics and Discourse;Netherlands;westerneurope;Europe;MK;included
Communicative intentions of child-directed speech in three different learning environments: Observations from the Netherlands, and rural and urban Mozambique;2015;35;4--5;FL;Dutch;Indo-European;other Indo-European;mono (NR);Pragmatics and Discourse;United States;northamerica;North America;MK;included
Communicative intentions of child-directed speech in three different learning environments: Observations from the Netherlands, and rural and urban Mozambique;2015;35;4--5;FL;Portuguese;Indo-European;other Indo-European;multi;Pragmatics and Discourse;Netherlands;westerneurope;Europe;MK;included
Communicative intentions of child-directed speech in three different learning environments: Observations from the Netherlands, and rural and urban Mozambique;2015;35;4--5;FL;Portuguese;Indo-European;other Indo-European;multi;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Estimating language skills in Samoan- and Tongan-speaking children growing up in New Zealand;2015;35;4--5;FL;Tongan;Austronesian;non-Indo-European;both;Vocabulary and Semantics;New Zealand;australia_and_new_zealand;Others;MK;included
Estimating language skills in Samoan- and Tongan-speaking children growing up in New Zealand;2015;35;4--5;FL;Samoan;Austronesian;non-Indo-European;both;Pragmatics and Discourse;New Zealand;australia_and_new_zealand;Others;MK;included
Estimating language skills in Samoan- and Tongan-speaking children growing up in New Zealand;2015;35;4--5;FL;Tongan;Austronesian;non-Indo-European;both;Pragmatics and Discourse;New Zealand;australia_and_new_zealand;Others;MK;included
Estimating language skills in Samoan- and Tongan-speaking children growing up in New Zealand;2015;35;4--5;FL;Samoan;Austronesian;non-Indo-European;both;Vocabulary and Semantics;New Zealand;australia_and_new_zealand;Others;MK;included
Estimating language skills in Samoan- and Tongan-speaking children growing up in New Zealand;2015;35;4--5;FL;Samoan;Austronesian;non-Indo-European;both;Morphosyntax;New Zealand;australia_and_new_zealand;Others;MK;included
Estimating language skills in Samoan- and Tongan-speaking children growing up in New Zealand;2015;35;4--5;FL;Tongan;Austronesian;non-Indo-European;both;Morphosyntax;New Zealand;australia_and_new_zealand;Others;MK;included
Multilingual children increase language differentiation by indexing communities of practice;2015;35;4--5;FL;Warlpiri;Australian;non-Indo-European;multi;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Multilingual children increase language differentiation by indexing communities of practice;2015;35;4--5;FL;Warlpiri (Light);Creole/Mixed;non-Indo-European;multi;Phonology;United States;northamerica;North America;MK;included
Multilingual children increase language differentiation by indexing communities of practice;2015;35;4--5;FL;Warlpiri;Australian;non-Indo-European;multi;Morphosyntax;United States;northamerica;North America;MK;included
Multilingual children increase language differentiation by indexing communities of practice;2015;35;4--5;FL;Warlpiri;Australian;non-Indo-European;multi;Phonology;United States;northamerica;North America;MK;included
Multilingual children increase language differentiation by indexing communities of practice;2015;35;4--5;FL;Warlpiri (Light);Creole/Mixed;non-Indo-European;multi;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Multilingual children increase language differentiation by indexing communities of practice;2015;35;4--5;FL;Warlpiri (Light);Creole/Mixed;non-Indo-European;multi;Morphosyntax;United States;northamerica;North America;MK;included
Specific linguistic profiles in a Creole-speaking area: Children’s speech on Reunion Island;2015;35;4--5;FL;Réunion Creole;Creole/Mixed;non-Indo-European;multi;Pragmatics and Discourse;France;westerneurope;Europe;MK;included
Specific linguistic profiles in a Creole-speaking area: Children’s speech on Reunion Island;2015;35;4--5;FL;Réunion Creole;Creole/Mixed;non-Indo-European;multi;Morphosyntax;France;westerneurope;Europe;MK;included
Specific linguistic profiles in a Creole-speaking area: Children’s speech on Reunion Island;2015;35;4--5;FL;French;Indo-European;other Indo-European;multi;Pragmatics and Discourse;France;westerneurope;Europe;MK;included
Specific linguistic profiles in a Creole-speaking area: Children’s speech on Reunion Island;2015;35;4--5;FL;French;Indo-European;other Indo-European;multi;Morphosyntax;France;westerneurope;Europe;MK;included
Teleological talk in parent–child conversations in Quechua;2015;35;4--5;FL;Southern Peruvian Quechua;Quechuan;non-Indo-European;mono;Morphosyntax;Peru;latinamerica;Others;MK;included
Teleological talk in parent–child conversations in Quechua;2015;35;4--5;FL;Southern Peruvian Quechua;Quechuan;non-Indo-European;mono;Morphosyntax;United States;northamerica;North America;MK;included
Teleological talk in parent–child conversations in Quechua;2015;35;4--5;FL;Southern Peruvian Quechua;Quechuan;non-Indo-European;mono;Language and Cognition;Peru;latinamerica;Others;MK;included
Teleological talk in parent–child conversations in Quechua;2015;35;4--5;FL;Southern Peruvian Quechua;Quechuan;non-Indo-European;mono;Language and Cognition;United States;northamerica;North America;MK;included
Literacy discussions in low-income families: The effect of parent questions on fourth graders’ retellings;2016;36;1;FL;Spanish;Indo-European;other Indo-European;multi;Pragmatics and Discourse;United States;northamerica;North America;MK;included
Literacy discussions in low-income families: The effect of parent questions on fourth graders’ retellings;2016;36;1;FL;English;Indo-European;English;multi;Language and Cognition;United States;northamerica;North America;MK;included
Literacy discussions in low-income families: The effect of parent questions on fourth graders’ retellings;2016;36;1;FL;Spanish;Indo-European;other Indo-European;multi;Language and Cognition;United States;northamerica;North America;MK;included
Literacy discussions in low-income families: The effect of parent questions on fourth graders’ retellings;2016;36;1;FL;English;Indo-European;English;multi;Pragmatics and Discourse;United States;northamerica;North America;MK;included
The importance of flexibility of pronunciation in learning to decode: A training study in set for variability;2016;36;1;FL;English;Indo-European;English;both;Phonology;United States;northamerica;North America;MK;included
The importance of flexibility of pronunciation in learning to decode: A training study in set for variability;2016;36;1;FL;English;Indo-European;English;both;Language and Cognition;United States;northamerica;North America;MK;included
The Non-word Repetition Task as a clinical marker of Specific Language Impairment in Spanish-speaking children;2016;36;1;FL;Spanish;Indo-European;other Indo-European;multi;Language and Cognition;Spain;southerneurope;Europe;MK;included
The Non-word Repetition Task as a clinical marker of Specific Language Impairment in Spanish-speaking children;2016;36;1;FL;Spanish;Indo-European;other Indo-European;multi;Vocabulary and Semantics;Spain;southerneurope;Europe;MK;included
The Non-word Repetition Task as a clinical marker of Specific Language Impairment in Spanish-speaking children;2016;36;1;FL;Spanish;Indo-European;other Indo-European;multi;Phonology;Spain;southerneurope;Europe;MK;included
Infants’ background television exposure during play: Negative relations to the quantity and quality of mothers’ speech and infants’ vocabulary acquisition;2016;36;2;FL;English;Indo-European;English;mono (NR);Pragmatics and Discourse;United States;northamerica;North America;MK;included
Infants’ background television exposure during play: Negative relations to the quantity and quality of mothers’ speech and infants’ vocabulary acquisition;2016;36;2;FL;English;Indo-European;English;mono (NR);Vocabulary and Semantics;United States;northamerica;North America;MK;included
Syntax and prosody in narratives: A study of preschool children;2016;36;2;FL;Italian;Indo-European;other Indo-European;mono;Morphosyntax;Italy;southerneurope;Europe;MK;included
Syntax and prosody in narratives: A study of preschool children;2016;36;2;FL;Italian;Indo-European;other Indo-European;mono;Phonology;Italy;southerneurope;Europe;MK;included
Syntax and prosody in narratives: A study of preschool children;2016;36;2;FL;Italian;Indo-European;other Indo-European;mono;Pragmatics and Discourse;Italy;southerneurope;Europe;MK;included
The effect of phonotactic probability and neighbourhood density on pseudoword learning in 6- and 7-year-old children;2016;36;2;FL;Dutch;Indo-European;other Indo-European;NR;Language and Cognition;Netherlands;westerneurope;Europe;MK;included
The effect of phonotactic probability and neighbourhood density on pseudoword learning in 6- and 7-year-old children;2016;36;2;FL;Dutch;Indo-European;other Indo-European;NR;Phonology;Netherlands;westerneurope;Europe;MK;included
The effect of phonotactic probability and neighbourhood density on pseudoword learning in 6- and 7-year-old children;2016;36;2;FL;Dutch;Indo-European;other Indo-European;NR;Vocabulary and Semantics;Netherlands;westerneurope;Europe;MK;included
The influence of socio-economic status on mothers’ volubility and responsiveness in a monolingual Dutch-speaking sample;2016;36;2;FL;Dutch;Indo-European;other Indo-European;mono;Pragmatics and Discourse;Belgium;westerneurope;Europe;MK;included
Elicited production of relative clauses in German: Evidence from typically developing children and children with specific language impairment;2016;36;3;FL;German;Indo-European;other Indo-European;mono;Morphosyntax;United States;northamerica;North America;MK;included
Elicited production of relative clauses in German: Evidence from typically developing children and children with specific language impairment;2016;36;3;FL;German;Indo-European;other Indo-European;mono;Morphosyntax;Germany;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Portugal;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Serbia;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Denmark;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Malta;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Lithuania;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Netherlands;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Croatia;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Austria;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Poland;easterneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Finland;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Romania;easterneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Australia;australia_and_new_zealand;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Cyprus;westernasia;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Germany;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Israel;westernasia;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Estonia;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Italy;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Belgium;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Portuguese;Indo-European;other Indo-European;NR;Morphosyntax;Greece;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Portugal;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Serbia;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Denmark;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Malta;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Lithuania;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Netherlands;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Croatia;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Austria;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Poland;easterneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Finland;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Romania;easterneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Australia;australia_and_new_zealand;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Cyprus;westernasia;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Germany;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Israel;westernasia;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Estonia;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Italy;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Belgium;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Danish;Indo-European;other Indo-European;NR;Morphosyntax;Greece;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Portugal;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Serbia;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Denmark;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Malta;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Lithuania;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Netherlands;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Croatia;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Austria;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Poland;easterneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Finland;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Romania;easterneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Australia;australia_and_new_zealand;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Cyprus;westernasia;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Germany;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Israel;westernasia;Others;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Estonia;northerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Italy;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Belgium;westerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Maltese;Afro-Asiatic;non-Indo-European;NR;Pragmatics and Discourse;Greece;southerneurope;Europe;MK;included
How do 5-year-olds understand questions? Differences in languages across Europe;2016;36;3;FL;Greek;Indo-European;other Indo-European;NR;Morphosyntax;Portugal;southerneurope;Europe;MK;included
